name,ring,quadrant,isNew,description
C#,4 - Hold,Languages & Frameworks,No,
Java,4 - Hold,Languages & Frameworks,No,
"Javascript, Typescript",4 - Hold,Languages & Frameworks,No,
C++,4 - Hold,Languages & Frameworks,No,
 Azure Devops,4 - Hold,Platforms,No,
AWS,3 - Assess,Platforms,No,
Microsoft Power BI,2 - Trial,Platforms,No,
Microsoft Power Apps,4 - Hold,Platforms,No,
Microsoft Power Automate,4 - Hold,Platforms,No,
Microsoft Power Virtual Agents,4 - Hold,Platforms,No,
"SpecFlow, Cucumber, Jasmine",4 - Hold,Languages & Frameworks,No,
Selenium,4 - Hold,Languages & Frameworks,No,
Playwright,4 - Hold,Languages & Frameworks,No,
Cypress,4 - Hold,Languages & Frameworks,No,
Appium,4 - Hold,Languages & Frameworks,No,
WebdriverIO,4 - Hold,Languages & Frameworks,No,
Microsoft Dynamics 365,4 - Hold,Platforms,No,
Behaviour Driven Development,4 - Hold,Techniques,No,
Test Driven Development,4 - Hold,Techniques,No,
Data Driven Development,4 - Hold,Techniques,No,
Domain Driven Development,3 - Assess,Techniques,No,
Model Driven Development,2 - Trial,Techniques,No,
"Test Design (BVT, Equivalence Partitioning, Decision Tables, State Transition, Use Case, Cause-Effect Graphing, Combinatorial, etc.)",4 - Hold,Techniques,No,
"Test Management, Test Planning, Test Strategy",4 - Hold,Techniques,No,
"Whitebox Testing (Statement, Decision, Branch, Condition, etc.)",4 - Hold,Techniques,No,
Kafka,4 - Hold,Platforms,No,
Postman,4 - Hold,Tools,No,
Charles,4 - Hold,Tools,No,
"IntelliJ, Eclipse",4 - Hold,Tools,No,
"Visual Studio, Visual Studio Code, Rider",4 - Hold,Tools,No,
GraphQL,2 - Trial,Tools,No,
Pactflow,2 - Trial,Tools,No,
Unit Testing,4 - Hold,Techniques,No,
"Integration, API, Microservices Testing",4 - Hold,Techniques,No,
"Performance Testing (Load, Stress, Soak, etc.)",4 - Hold,Techniques,No,
"Functional Testing (GUI, Acceptance, etc)",4 - Hold,Techniques,No,
